t_s,rps
0,52.8
60,53.7
120,52.3
180,48.1
240,53.2
300,51.9
360,49.3
420,51.8
480,51.0
540,50.6
600,49.8
660,50.8
720,47.5
780,48.7
840,47.7
900,50.0
960,48.5
1020,47.5
1080,46.1
1140,47.1
1200,47.6
1260,46.7
1320,50.2
1380,49.3
1440,40.2
1500,42.0
1560,45.9
1620,45.1
1680,46.4
1740,46.2
1800,50.6
1860,42.6
1920,44.2
1980,49.8
2040,46.3
2100,46.1
2160,43.1
2220,40.2
2280,44.3
2340,44.0
2400,40.6
2460,41.7
2520,43.0
2580,40.7
2640,42.6
2700,42.9
2760,42.5
2820,41.1
2880,43.5
2940,44.1
3000,42.5
3060,39.6
3120,43.2
3180,40.0
3240,43.2
3300,252.0
3360,256.6
3420,40.5
3480,37.4
3540,39.5
